Name,Position,Height,Weight,Elig Year,Acad Year,Program,Hometown,Image
Brett Timbeck,REC,182.88,179,4,4,Kinesiology,"London, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fTimbeck_Brett.jpg&width=300&type=webp
Malcolm Moore,REC,187.96,180,1,1,Accounting & Financial Management,"Stoney Creek, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fMoore_Malcolm.jpg&width=300&type=webp
Marcus Hoegl,REC,187.96,187,3,3,"Environment, Resources & Sustainability","Burlington, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fM._Hogel.jpg&width=300&type=webp
Amr Qutub,REC,182.88,171,1,3,Mechanical Engineering,"London, ON",https://i.imgur.com/rxwmSpO.png
Evan Basalyga,H-Back,190.5,227,3,3,Arts & Business,"Thunder Bay, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fO._Basalyga.jpg&width=300&type=webp
Tyler Goforth,REC,177.8,155,1,2,Health Sciences,"Niagara Falls, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fT._Goforth.jpg&width=300&type=webp
Jack Lausch,DL,182.88,316,1,1,Arts & Business,"Winnipeg, MB",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fJ._Lausch.jpg&width=300&type=webp
Michael Matias,DL,195.57999999999998,234,2,3,Recreation & Leisure,"Mount Brydges, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fM._Metais.jpg&width=300&type=webp
Noah Dubbeld,DL,187.96,259,1,1,Arts,"Oakville, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fN._Dubbled.jpg&width=300&type=webp
Josiah Ramadan-St Denis,DL,187.96,276,1,3,Economics,"London, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fRamadan-St.Denis_Josiah.jpg&width=300&type=webp
Dominique Walker,DL,203.2,253,2,3,Recreation & Leisure,"Oshawa, ON",https://i.imgur.com/rxwmSpO.png
Justin Gec,DL,187.96,280,3,5,Legal Studies & Business,"Waterloo, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fJ._Gec.jpg&width=300&type=webp
Yassier Adam,DB,177.8,179,1,2,Kinesiology,"Calgary, AB",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fAdam.jpg&width=300&type=webp
Mason Anskis,RB,175.26,182,1,3,Arts & Business,"Burlington, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fAnskis_Mason.jpg&width=300&type=webp
